Field Identifier,Category,Sub-Category,Field Name,Alias Export,Tooltip,Component,Options,Unit,Document-Support,Dependency,Show when value is,Mandatory Field,Include Category in Type Name,Include Sub-Category in Type Name,Data Point Type Name Overwrite
94,Insurance/Reinsurance,Underwriting KPI,Proportion of Absolute Premiums of Taxonomy-eligible Activities,IR_UNDERWRITING_PROP_OF_ABS_PREMIUMS_ELIGIBLE,"Proportion of Non-life Insurance and Reinsurance Undertakings underwriting Taxonomy-eligible Activities. Shall be reported as ‘gross premiums written’ or, as applicable, turnover relating to non-life insurance and reinsurance activity.",Percentage,,,Extended,,,,Yes,,
95,Insurance/Reinsurance,Underwriting KPI,Proportion of Absolute Premiums of Taxonomy-eligible Nuclear Activities,IR_UNDERWRITING_PROP_OF_ABS_PREMIUMS_NUCLEAR_ELIGIBLE,"Proportion of Non-life Insurance and Reinsurance Undertakings underwriting Taxonomy-eligible Nuclear Activities. Shall be reported as ‘gross premiums written’ or, as applicable, turnover relating to non-life insurance and reinsurance activity.",Percentage,,,Extended,,,,Yes,,
96,Insurance/Reinsurance,Underwriting KPI,Proportion of Absolute Premiums of Taxonomy-eligible Fossil Gas Activities,IR_UNDERWRITING_PROP_OF_ABS_PREMIUMS_GAS_ELIGIBLE,"Proportion of Non-life Insurance and Reinsurance Undertakings underwriting Taxonomy-eligible Fossil Gas Activities. Shall be reported as ‘gross premiums written’ or, as applicable, turnover relating to non-life insurance and reinsurance activity.",Percentage,,,Extended,,,,Yes,,
97,Insurance/Reinsurance,Underwriting KPI,Total Of Absolute Premiums Of Non-Assessed Activities Considered Non-Material,IR_UNDERWRITING_TOTAL_OF_ABS_PREMIUMS_NON_ASSESSED,"Non-life Insurance and Reinsurance Undertakings underwriting non-assessed activities considered non-material, reported as gross premiums written or, as applicable, revenue relating to non-life insurance or reinsurance activity",Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,,
98,Insurance/Reinsurance,Underwriting KPI,Proportion Of Absolute Premiums Of  Non-Assessed Activities Considered Non-Material,IR_UNDERWRITING_PROP_OF_ABS_PREMIUMS_NON_ASSESSED,"Proportion of Non-life Insurance and Reinsurance Undertakings underwriting non-assessed activities considered non-material, reported as gross premiums written or, as applicable, revenue relating to non-life insurance or reinsurance activity",Percentage,,,Extended,,,,Yes,,
99,Insurance/Reinsurance,Underwriting KPI,Total of Absolute Premiums,IR_UNDERWRITING_TOTAL_OF_ABS_PREMIUMS,"Non-life Insurance and Reinsurance Undertakings. Shall be reported as ‘gross premiums written’ or, as applicable, turnover relating to non-life insurance and reinsurance activity.",Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,,
100,Insurance/Reinsurance,Asset under Management,Total Asset under Management - monetary amount,IR_AUM_TOTAL_AMOUNT,The value of total investments of insurance or reinsurance undertakings (total AuM) - monetary amount.,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
101,Insurance/Reinsurance,Asset under Management,Assets covered by the KPI - in Percent,IR_AUM_COVERED_BY_KPI_PCT,"The value of all direct and indirect investments and exposures, covered under Article 7(6) of Regulation (EU) 2026/73, including investments in collective investment undertakings and participations, loans and mortgages relative to total investments of insurance or reinsurance undertakings (total AuM) - in Percent.",Percentage,,,Extended,,,,Yes,Yes,
102,Insurance/Reinsurance,Asset under Management,Assets covered by the KPI - monetary amount,IR_AUM_COVERED_BY_KPI_AMOUNT,"The value of all direct and indirect investments and exposures, covered under Article 7(6) of Regulation (EU) 2026/73, including investments in collective investment undertakings and participations, loans and mortgages - monetary amount.",Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
103,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI in Percent - Eligible,IR_TURNOVER_BASED_PCT_ELIGIBLE,Taxonomy-eligible Proportion of Turnover-based KPI,Percentage,,,Extended,,,,Yes,Yes,
104,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI Exposed towards Nuclear Activities in Percent - Eligible,IR_TURNOVER_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible Proportion of Turnover-based KPI exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
105,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI Exposed towards Fossil Gas Activities in Percent - Eligible,IR_TURNOVER_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible Proportion of Turnover-based KPI exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
106,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI in Percent - Aligned,IR_TURNOVER_BASED_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI,Percentage,,,Extended,,,,Yes,Yes,
107,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI Exposed towards Nuclear Activities in Percent - Aligned,IR_TURNOVER_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
108,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI Exposed towards Fossil Gas Activities in Percent - Aligned,IR_TURNOVER_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
109,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI in Percent - Of which Transitional,IR_TURNOVER_BASED_PCT_TRANSITIONAL,Taxonomy-aligned and Transitional Proportion of Turnover-based KPI,Percentage,,,Extended,,,,Yes,Yes,
110,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Share of Turnover-based KPI in Percent - Of which Enabling,IR_TURNOVER_BASED_PCT_ENABLING,Taxonomy-aligned and Enabling Proportion of Turnover-based KPI,Percentage,,,Extended,,,,Yes,Yes,
111,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Turnover-based Non-Assessed Exposures,IR_TURNOVER_BASED_PCT_NON_ASSESSED,Proportion of Turnover-based KPI of which non-assessed exposures,Percentage,,,Extended,,,,Yes,Yes,
112,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,IR_TURNOVER_BASED_PCT_NON_ASSESSED_NON_MATERIAL_CP,Proportion of Turnover-based KPI of which exposures financing non-assessed non-material activities of counterparties,Percentage,,,Extended,,,,Yes,Yes,
113,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,IR_TURNOVER_BASED_PCT_NON_ASSESSED_NON_MATERIAL_RE,Proportion of Turnover-based KPI of which non-assessed exposures considered non-material by the reporting entity,Percentage,,,Extended,,,,Yes,Yes,
114,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Exposures Financing Counterparties Reporting no Taxonomy-eligible Activities,IR_TURNOVER_BASED_PCT_NON_ASSESSED_NO_ELIGIBLE_CP,Proportion of Turnover-based KPI of which exposures financing counterparties reporting in accordance with Article 7(9) of Regulation (EU) 2026/73,Percentage,,,Extended,,,,Yes,Yes,
115,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - Turnover-based,Share of Turnover-based KPI substantially contributing to Climate Change Mitigation in Percent - Aligned,IR_TURNOVER_BASED_SC_TO_CCM_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI substantially contributing to Climate Change Mitigation - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
116,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - Turnover-based,Share of Turnover-based KPI substantially contributing to Climate Change Adaptation in Percent - Aligned,IR_TURNOVER_BASED_SC_TO_CCA_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI substantially contributing to Climate Change Adaptation - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
117,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - Turnover-based,Share of Turnover-based KPI substantially contributing to Sustainable Use and Protection of Water and Marine Resources in Percent - Aligned,IR_TURNOVER_BASED_SC_TO_WTR_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI substantially contributing to Sustainable Use and Protection of Water and Marine Resources - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
118,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - Turnover-based,Share of Turnover-based KPI substantially contributing to Transition to a Circular Economy in Percent - Aligned,IR_TURNOVER_BASED_SC_TO_CE_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI substantially contributing to Circular Economy - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
119,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - Turnover-based,Share of Turnover-based KPI substantially contributing to Pollution Prevention and Control in Percent - Aligned,IR_TURNOVER_BASED_SC_TO_PPC_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI substantially contributing to Pollution Prevention and Control - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
120,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - Turnover-based,Share of Turnover-based KPI substantially contributing to Protection and Restoration of Biodiversity and Ecosystems in Percent - Aligned,IR_TURNOVER_BASED_SC_TO_BIO_PCT_ALIGNED,Taxonomy-aligned Proportion of Turnover-based KPI substantially contributing to Protection and Restoration of Biodiversity and Ecosystems - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
121,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI in Percent - Eligible,IR_CAPEX_BASED_PCT_ELIGIBLE,Taxonomy-eligible Proportion of CapEx-based KPI,Percentage,,,Extended,,,,Yes,Yes,
122,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI Exposed towards Nuclear Activities in Percent - Eligible,IR_CAPEX_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible Proportion of CapEx-based KPI exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
123,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI Exposed towards Fossil Gas Activities in Percent - Eligible,IR_CAPEX_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible Proportion of CapEx-based KPI exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
124,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI in Percent - Aligned,IR_CAPEX_BASED_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI,Percentage,,,Extended,,,,Yes,Yes,
125,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI Exposed towards Nuclear Activities in Percent - Aligned,IR_CAPEX_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
126,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI Exposed towards Fossil Gas Activities in Percent - Aligned,IR_CAPEX_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
127,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI in Percent - Of which Transitional,IR_CAPEX_BASED_PCT_TRANSITIONAL,Taxonomy-aligned and Transitional Proportion of CapEx-based KPI,Percentage,,,Extended,,,,Yes,Yes,
128,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,Share of CapEx-based KPI in Percent - Of which Enabling,IR_CAPEX_BASED_PCT_ENABLING,Taxonomy-aligned and Enabling Proportion of CapEx-based KPI,Percentage,,,Extended,,,,Yes,Yes,
129,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,CapEx-based Non-Assessed Exposures,IR_CAPEX_BASED_PCT_NON_ASSESSED,Proportion of CapEx-based KPI of which non-assessed exposures,Percentage,,,Extended,,,,Yes,Yes,
130,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,CapEx-based Non-Assessed Exposures - Of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,IR_CAPEX_BASED_PCT_NON_ASSESSED_NON_MATERIAL_CP,Proportion of CapEx-based KPI of which exposures financing non-assessed non-material activities of counterparties,Percentage,,,Extended,,,,Yes,Yes,
131,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,CapEx-based Non-Assessed Exposures - Of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,IR_CAPEX_BASED_PCT_NON_ASSESSED_NON_MATERIAL_RE,Proportion of CapEx-based KPI of which non-assessed exposures considered non-material by the reporting entity,Percentage,,,Extended,,,,Yes,Yes,
132,Insurance/Reinsurance,Breakdown of the Numerator of the KPI - CapEx-based,CapEx-based Non-Assessed Exposures - Of which Exposures to Counterparties Reporting no Taxonomy-eligible Activities,IR_CAPEX_BASED_PCT_NON_ASSESSED_NO_ELIGIBLE_CP,Proportion of CapEx-based KPI of which exposures to counterparties reporting in accordance with Article 7(9) of Regulation (EU) 2026/73,Percentage,,,Extended,,,,Yes,Yes,
133,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - CapEx-based,Share of CapEx-based KPI substantially contributing to Climate Change Mitigation in Percent - Aligned,IR_CAPEX_BASED_SC_TO_CCM_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI substantially contributing to Climate Change Mitigation - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
134,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - CapEx-based,Share of CapEx-based KPI substantially contributing to Climate Change Adaptation in Percent - Aligned,IR_CAPEX_BASED_SC_TO_CCA_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI substantially contributing to Climate Change Adaptation - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
135,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - CapEx-based,Share of CapEx-based KPI substantially contributing to Sustainable Use and Protection of Water and Marine Resources in Percent - Aligned,IR_CAPEX_BASED_SC_TO_WTR_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI substantially contributing to Sustainable Use and Protection of Water and Marine Resources - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
136,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - CapEx-based,Share of CapEx-based KPI substantially contributing to Transition to a Circular Economy in Percent - Aligned,IR_CAPEX_BASED_SC_TO_CE_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI substantially contributing to Circular Economy - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
137,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - CapEx-based,Share of CapEx-based KPI substantially contributing to Pollution Prevention and Control in Percent - Aligned,IR_CAPEX_BASED_SC_TO_PPC_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI substantially contributing to Pollution Prevention and Control - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
138,Insurance/Reinsurance,Breakdown of the Numerator of the KPI per Environmental Objective - CapEx-based,Share of CapEx-based KPI substantially contributing to Protection and Restoration of Biodiversity and Ecosystems in Percent - Aligned,IR_CAPEX_BASED_SC_TO_BIO_PCT_ALIGNED,Taxonomy-aligned Proportion of CapEx-based KPI substantially contributing to Protection and Restoration of Biodiversity and Ecosystems - provided 'do-not-significant harm' (DNSH) and social safeguards positive assessment,Percentage,,,Extended,,,,Yes,Yes,
139,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Total Assets invested under Investment Firm's Activities dealing on own Account,IF_OWN_ACCOUNT_TURNOVER_BASED_TOTAL_ASSETS,Total assets invested under investment firms' activities dealing on own account (as per Section A of Annex I to Directive 2014/65/EU),Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
140,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Total Assets invested under Investment Firm's Activities dealing on own Account of which covered by the Turnover,IF_OWN_ACCOUNT_TURNOVER_BASED_COVERED_ASSETS,Total assets invested under investment firms' activities dealing on own account (as per Section A of Annex I to Directive 2014/65/EU) of which covered by the Turnover,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
141,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to Climate Change Mitigation - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_CCM_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Climate Change Mitigation,Percentage,,,Extended,,,,Yes,Yes,
142,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to Climate Change Adaptation - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_CCA_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Climate Change Adaptation,Percentage,,,Extended,,,,Yes,Yes,
143,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to Sustainable Use and Protection of Water and Marine Resources - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_WTR_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Sustainable Use and Protection of Water and Marine Resources,Percentage,,,Extended,,,,Yes,Yes,
144,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to Circular Economy - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_CE_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Circular Economy,Percentage,,,Extended,,,,Yes,Yes,
145,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to Pollution Prevention and Control - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_PPC_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Pollution Prevention and Control,Percentage,,,Extended,,,,Yes,Yes,
146,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to Protection and Restoration of Biodiversity and Ecosystems - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_BIO_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Protection and Restoration of Biodiversity and Ecosystems,Percentage,,,Extended,,,,Yes,Yes,
147,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Eligible,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_ANY_ELIGIBLE,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
148,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_ANY_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
149,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Of which Transitional,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_ANY_TRANSITIONAL,Taxonomy-aligned and transitional Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
150,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets substantially contributing to any of the six Environmental Objectives - Of which Enabling,IF_OWN_ACCOUNT_TURNOVER_BASED_SC_TO_ANY_ENABLING,Taxonomy-aligned and enabling Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to any of the six Environmental Objectives,Percentage,,,Extended,,,,Yes,Yes,
151,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Non-Assessed Exposures,Percentage,,,Extended,,,,Yes,Yes,
152,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED_NON_MATERIAL_CP,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Exposures Financing Non-Assessed Non-Material Activities of Counterparties,Percentage,,,Extended,,,,Yes,Yes,
153,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Exposures Financing Counterparties Reporting no Taxonomy-eligible Activities,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED_NO_ELIGIBLE_CP,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which exposures financing counterparties reporting in accordance with Article 7(9) of Regulation (EU) 2026/73,Percentage,,,Extended,,,,Yes,Yes,
154,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Non-Assessed Exposures - Of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,IF_OWN_ACCOUNT_TURNOVER_BASED_PCT_NON_ASSESSED_NON_MATERIAL_RE,Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) of which Non-Assessed Exposures Considered Non-Material by the Reporting Entity,Percentage,,,Extended,,,,Yes,Yes,
155,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Nuclear Activities - Eligible,IF_OWN_ACCOUNT_TURNOVER_BASED_NUCLEAR_PCT_ELIGIBLE,Taxonomy-eligible Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
156,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Fossil Gas Activities - Eligible,IF_OWN_ACCOUNT_TURNOVER_BASED_GAS_PCT_ELIGIBLE,Taxonomy-eligible Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
157,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Nuclear Activities - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_NUCLEAR_PCT_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Nuclear Activities,Percentage,,,Extended,,,,Yes,Yes,
158,Investment firms,Dealing on own Account Services - Turnover-based,Turnover-based Proportion of Assets Exposed towards Fossil Gas Activities - Aligned,IF_OWN_ACCOUNT_TURNOVER_BASED_GAS_PCT_ALIGNED,Taxonomy-aligned Turnover-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) which are exposed towards Fossil Gas Activities,Percentage,,,Extended,,,,Yes,Yes,
159,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Total Assets invested under Investment Firm's Activities dealing on own Account,IF_OWN_ACCOUNT_CAPEX_BASED_TOTAL_ASSETS,Total assets invested under investment firms' activities dealing on own account (as per Section A of Annex I to Directive 2014/65/EU),Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
160,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Total Assets invested under Investment Firm's Activities dealing on own Account of which covered by the CapEx,IF_OWN_ACCOUNT_CAPEX_BASED_COVERED_ASSETS,Total assets invested under investment firms' activities dealing on own account (as per Section A of Annex I to Directive 2014/65/EU) of which covered by the CapEx,Currency,"Allowed Range: [0, INF]",,Extended,,,,Yes,Yes,
161,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Climate Change Mitigation - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_CCM_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Climate Change Mitigation,Percentage,,,Extended,,,,Yes,Yes,
162,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Climate Change Adaptation - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_CCA_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Climate Change Adaptation,Percentage,,,Extended,,,,Yes,Yes,
163,Investment firms,Dealing on own Account Services - CapEx-based,CapEx-based Proportion of Assets substantially contributing to Sustainable Use and Protection of Water and Marine Resources - Aligned,IF_OWN_ACCOUNT_CAPEX_BASED_SC_TO_WTR_ALIGNED,Taxonomy-aligned CapEx-based Proportion of Total Assets invested under Investment Firms' Activities dealing on own Account (as per Section A of Annex I to Directive 2014/65/EU) substantially contributing to Sustainable Use and Protection of Water and Marine Resources,Percentage,,,Extended,,,,Yes,Yes,
